CODIGO,date,value,who_entered
17015010.0,2025-08-1,1.3,7
17025020.0,2025-08-1,0.0,7
15015050.0,2025-08-1,0.0,7
14015080.0,2025-08-1,0.0,7
15065180.0,2025-08-1,0.0,7
28025502.0,2025-08-1,0.0,7
13035501.0,2025-08-1,0.0,7
12015070.0,2025-08-1,0.4,7
23155030.0,2025-08-1,0.0,7
23195502.0,2025-08-1,0.0,7
16015010.0,2025-08-1,0.0,7
23085270.0,2025-08-1,0.0,7
26155110.0,2025-08-1,0.0,7
26135040.0,2025-08-1,0.1,7
26125061.0,2025-08-1,0.0,7
21245040.0,2025-08-1,0.0,7
21205791.0,2025-08-1,0.0,7
21202280.0,2025-08-1,0.0,7
26075040.0,2025-08-1,0.0,7
21115020.0,2025-08-1,0.1,7
52045020.0,2025-08-1,0.0,7
52055230.0,2025-08-1,0.4,7
11045010.0,2025-08-1,120.4,7
53115010.0,2025-08-1,1.0,7
37055010.0,2025-08-1,9.5,7
38015030.0,2025-08-1,0.9,7
35035020.0,2025-08-1,17.4,7
34015010.0,2025-08-1,1.0,7
48015050.0,2025-08-1,21.7,7
26125120.0,2025-08-1,1.6,7
2120080.0,2025-08-1,0.0,7
2401042.0,2025-08-1,0.0,7
2120659.0,2025-08-1,1.6,7
2120629.0,2025-08-1,0.0,7
2120516.0,2025-08-1,0.0,7
2401036.0,2025-08-1,0.0,7
2119514.0,2025-08-1,0.0,7
2306517.0,2025-08-1,0.0,7
2120112.0,2025-08-1,0.0,7
2120647.0,2025-08-1,0.0,7
2306039.0,2025-08-1,0.0,7
2120646.0,2025-08-1,0.0,7
2119022.0,2025-08-1,0.0,7
2306507.0,2025-08-1,0.0,7
2306033.0,2025-08-1,0.0,7
2120644.0,2025-08-1,0.0,7
2401043.0,2025-08-1,0.0,7
2401513.0,2025-08-1,0.0,7
2401115.0,2025-08-1,0.2,7
2120190.0,2025-08-1,0.0,7
2120074.0,2025-08-1,0.0,7
2306308.0,2025-08-1,0.0,7
2120652.0,2025-08-1,0.0,7
2120174.0,2025-08-1,0.0,7
2120166.0,2025-08-1,0.0,7
2119046.0,2025-08-1,0.0,7
2120182.0,2025-08-1,0.0,7
2120168.0,2025-08-1,0.0,7
2401037.0,2025-08-1,0.0,7
2401515.0,2025-08-1,0.0,7
2120540.0,2025-08-1,0.0,7
2306040.0,2025-08-1,0.0,7
2120077.0,2025-08-1,0.0,7
2123007.0,2025-08-1,0.0,7
2401534.0,2025-08-1,0.0,7
26030150.0,2025-08-1,0.0,7
26020030.0,2025-08-1,0.0,7
