CODIGO,date,value,who_entered
17015010,2025-05-01,1,7
17025020,2025-05-01,0,7
15015050,2025-05-01,0.2,7
14015080,2025-05-01,0,7
15065180,2025-05-01,3,7
28025502,2025-05-01,0.2,7
13035501,2025-05-01,0,7
12015070,2025-05-01,2.8,7
23155030,2025-05-01,2,7
23195502,2025-05-01,0,7
16015010,2025-05-01,0,7
27015330,2025-05-01,3.4,7
23085270,2025-05-01,9.3,7
26155110,2025-05-01,7.7,7
26135040,2025-05-01,3.3,7
26125061,2025-05-01,2.7,7
21245040,2025-05-01,18.9,7
21205791,2025-05-01,0,7
21202280,2025-05-01,0.2,7
26075040,2025-05-01,2.9,7
21115020,2025-05-01,10.2,7
52045020,2025-05-01,9.4,7
52055230,2025-05-01,1.8,7
11045010,2025-05-01,3.1,7
53115010,2025-05-01,1,7
37055010,2025-05-01,0,7
38015030,2025-05-01,4.8,7
35035020,2025-05-01,22.3,7
34015010,2025-05-01,1,7
48015050,2025-05-01,2,7
26125120,2025-05-01,3.1,7
2120080,2025-05-01,0,7
2401042,2025-05-01,0,7
2120659,2025-05-01,0,7
2120629,2025-05-01,5,7
2120516,2025-05-01,0,7
2401036,2025-05-01,0,7
2119514,2025-05-01,1.5,7
2306517,2025-05-01,14.8,7
2120112,2025-05-01,0,7
2120647,2025-05-01,0,7
2306039,2025-05-01,8.4,7
2120646,2025-05-01,0.6,7
2119022,2025-05-01,0,7
2306507,2025-05-01,0,7
2306033,2025-05-01,5.8,7
2120644,2025-05-01,0,7
2401043,2025-05-01,0,7
2401513,2025-05-01,0,7
2401115,2025-05-01,0,7
2120190,2025-05-01,0,7
2120074,2025-05-01,0,7
2120652,2025-05-01,0,7
2120174,2025-05-01,0.1,7
2120166,2025-05-01,0,7
2119046,2025-05-01,0,7
2120182,2025-05-01,2.1,7
2401110,2025-05-01,0,7
2120168,2025-05-01,0,7
2401037,2025-05-01,0,7
2401057,2025-05-01,2,7
2401515,2025-05-01,0,7
2120540,2025-05-01,0,7
2306040,2025-05-01,5,7
2120077,2025-05-01,0,7
2123007,2025-05-01,0,7
2401534,2025-05-01,0,7
26030150,2025-05-01,44.4,7
26020030,2025-05-01,0,7
25025080,2025-05-01,19.9,7
29015000,2025-05-01,0,7
29030050,2025-05-01,20,7
25025170,2025-05-01,10,7
25020140,2025-05-01,0,7
29040240,2025-05-01,3,7
29040230,2025-05-01,0,7
25025160,2025-05-01,0,7
25021350,2025-05-01,0,7
25025190,2025-05-01,0.6,7
29040310,2025-05-01,0,7
25020470,2025-05-01,9.6,7
12030010,2025-05-01,11,7
29035110,2025-05-01,8.3,7
14010050,2025-05-01,0,7
29035080,2025-05-01,0,7
14010010,2025-05-01,0,7
29040260,2025-05-01,0,7
29040250,2025-05-01,0,7
25021280,2025-05-01,0,7
29040300,2025-05-01,0,7
14010020,2025-05-01,23,7
29040020,2025-05-01,23.7,7
25020700,2025-05-01,2,7
25020960,2025-05-01,0,7
13015040,2025-05-01,0.8,7
29035040,2025-05-01,2.4,7
13090050,2025-05-01,0,7
13085010,2025-05-01,0,7
13075020,2025-05-01,0,7
13090040,2025-05-01,0,7
25025270,2025-05-01,0.4,7
13085030,2025-05-01,45.2,7
25025380,2025-05-01,31,7
12045020,2025-05-01,9.7,7
29040450,2025-05-01,0,7
25020760,2025-05-01,25,7
25025210,2025-05-01,1.9,7
25020950,2025-05-01,39,7
13075010,2025-05-01,0,7
12045010,2025-05-01,16,7
13030010,2025-05-01,0,7
25021370,2025-05-01,18,7
29035030,2025-05-01,2.6,7
29035000,2025-05-01,13,7
25025240,2025-05-01,0,7
29060090,2025-05-01,1,7
28040030,2025-05-01,0,7
28015070,2025-05-01,6.4,7
28040010,2025-05-01,12,7
28010360,2025-05-01,0,7
15060180,2025-05-01,12,7
15060040,2025-05-01,0,7
25020250,2025-05-01,3,7
15030010,2025-05-01,2,7
25021600,2025-05-01,0,7
1506500197,2025-05-01,0,7
15045010,2025-05-01,0,7
15075030,2025-05-01,0,7
15085030,2025-05-01,13.5,7
2804500195,2025-05-01,2.4,7
29060040,2025-05-01,0,7
15010010,2025-05-01,0,7
1501500196,2025-05-01,11.7,7
28040100,2025-05-01,0,7
15010501,2025-05-01,0,7
25021240,2025-05-01,0,7
29060170,2025-05-01,0,7
29060210,2025-05-01,0,7
25020220,2025-05-01,0,7
25021500,2025-05-01,0,7
28010040,2025-05-01,5,7
28035020,2025-05-01,13.8,7
28035010,2025-05-01,5,7
15085020,2025-05-01,0.5,7
28010370,2025-05-01,0,7
25020690,2025-05-01,0,7
29060540,2025-05-01,0,7
28040140,2025-05-01,0,7
28040150,2025-05-01,0.2,7
29060100,2025-05-01,0,7
15070070,2025-05-01,15,7
15080070,2025-05-01,0,7
15010020,2025-05-01,0,7
25020240,2025-05-01,0,7
28010090,2025-05-01,0,7
