CODIGO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2401042,1,5,0,10.5,10.5,10.8,5,5,8,0,0,4,0,0,0,0,0,0,10,0,0,6,8,0,0,0,0,0,0,5,10.8
2120659,0,0,0,0.5,9.5,9.6,1.5,15,5.2,0,2,3.3,0.6,2.4,0,0,0,0,0,9.5,1,0.8,0,0,0.2,3.9,8.2,0,0,0.3,0.7
2120629,1.5,3.1,0,9.3,3.4,0,0,5,16.2,0,0,0,0,0,0,0,0,0,0,4,15.1,9,5.1,0,0,0.5,9.2,0,0,2.3,11.9
2120516,3.8,5.7,0,4.6,2.8,0,0.2,5,6,0,0,1.5,0,0,0,0,0,7.9,20,0,4.3,37.6,1.8,0,0.2,1,1.2,0,0,2,19.2
2401036,0,6,0,26,8,0,8,5,4,0,0,0,0,0,0,0,0,0,12,0,0,2.5,4,0,0,0,0,0,0,2,22
2119514,0,14.1,0,0,44.5,5.3,13.5,12.1,1.5,0.3,0,1.5,0,0,0,0.9,0,0,0.2,19.5,6.5,14,0,0,0,1,0.8,0,2.4,1,5.5
2306517,0.4,0.9,0.7,12.3,3.3,0.3,1.5,1.1,4.7,38.4,0.2,0,0,0,0,0,0,0,11.2,0.2,0,0,4.2,0.1,6.9,2.1,0.2,0,0,0.5,3.4
2120112,1,3,0,3.3,41.3,7,0,17.3,2,0,0,10.3,0,0,0,0,0,0,0,50.7,32.2,28.3,0,0,7,5,6,3,0,0,22.3
2120647,0,20,0,19,70,10,5,3.5,6.5,3,0,0,0,0,0,0,0,0,0,0.5,27,6.5,0.5,0,0,0,0,0,0,0.3,12
2306039,2.6,4.5,9.9,1.6,13.5,0.9,0.1,1.4,3.8,4.1,0,10.6,0,0,0,3.8,0,0.7,0,1.8,0,2.1,14.5,0,13.6,,14.4,0,0,,16.3
2120646,0,3.6,0,7.3,50,0,20.7,9,0.5,5.5,0,0,0,0,0,0,0,0.4,3.1,0,8.6,11.5,0,0.2,0,0,1,0,0,0,17
2119022,0,2.6,0,0,8.3,80.1,5.6,35.4,3.1,53.2,0,0,0,0,0,0,0,0,3.2,19.3,11.1,11.4,0,0,0,0,1,0,0,0,0
2306507,0,25.2,0,2.7,17.2,3.5,34.8,23.4,4.7,0,0,0,0,0,0,10,1,6.7,5.3,1.3,13.6,37.2,0,0,0,0,0,0,0,6,20.2
2119047,0,6.4,0,0.2,41.7,0,10.3,20.9,0.5,0.2,0,2.3,0,0,0,8.8,0,0,2.5,0.2,7.6,7.1,0,0,0.3,3.5,1,0,0,0.6,3.3
2306033,0,9.8,8.3,18.5,31.4,0,8.7,3.3,0,5.2,0,0,0,0,0,0,0,0,24.8,0,0,3,62.8,0,7.2,17.3,0,0,0,7.7,4.2
2120644,0,2,0,0,24,0,5,0,0,11,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2401043,2.5,16.2,0,2.7,0.5,0,9.6,3.2,14.4,0.7,0,1.7,0,0.7,0,0.5,0,1.3,16.9,2.1,2.2,7,5.2,0,31,1.1,0.4,0,0,7.8,29
2401513,1,12.6,0,24.4,4.8,9,6,2.6,16.4,0.5,0,0,0,0,0,0,0,0,17.5,0,0,3.2,0.6,0,0,0,0,0,0,3.5,23.7
