CODIGO,date,value,who_entered
17015010.0,2025-09-1,13.1,7
17025020.0,2025-09-1,0.7,7
15015050.0,2025-09-1,0.0,7
14015080.0,2025-09-1,3.1,7
15065180.0,2025-09-1,0.0,7
28025502.0,2025-09-1,11.6,7
13035501.0,2025-09-1,13.8,7
12015070.0,2025-09-1,11.2,7
23155030.0,2025-09-1,1.6,7
23195502.0,2025-09-1,30.8,7
16015010.0,2025-09-1,1.2,7
23085270.0,2025-09-1,13.7,7
26155110.0,2025-09-1,6.0,7
26135040.0,2025-09-1,1.4,7
26125061.0,2025-09-1,0.0,7
21245040.0,2025-09-1,0.0,7
21205791.0,2025-09-1,0.0,7
21202280.0,2025-09-1,0.4,7
26075040.0,2025-09-1,0.0,7
21115020.0,2025-09-1,1.5,7
52045020.0,2025-09-1,1.6,7
52055230.0,2025-09-1,0.3,7
11045010.0,2025-09-1,38.4,7
53115010.0,2025-09-1,60.0,7
37055010.0,2025-09-1,7.8,7
38015030.0,2025-09-1,30.0,7
35035020.0,2025-09-1,8.1,7
34015010.0,2025-09-1,1.0,7
48015050.0,2025-09-1,0.1,7
26125120.0,2025-09-1,5.7,7
2120080.0,2025-09-1,4.7,7
2401042.0,2025-09-1,2.0,7
2120659.0,2025-09-1,11.5,7
2120629.0,2025-09-1,0.0,7
2120516.0,2025-09-1,1.0,7
2401036.0,2025-09-1,3.0,7
2119514.0,2025-09-1,1.0,7
2306517.0,2025-09-1,3.5,7
2120112.0,2025-09-1,3.9,7
2120647.0,2025-09-1,0.5,7
2306039.0,2025-09-1,3.5,7
2120646.0,2025-09-1,0.9,7
2119022.0,2025-09-1,0.0,7
2306507.0,2025-09-1,0.0,7
2306033.0,2025-09-1,1.5,7
2120644.0,2025-09-1,0.0,7
2401043.0,2025-09-1,2.7,7
2401513.0,2025-09-1,0.3,7
2401115.0,2025-09-1,1.3,7
2120190.0,2025-09-1,0.0,7
2120074.0,2025-09-1,4.0,7
2306308.0,2025-09-1,1.5,7
2120652.0,2025-09-1,0.0,7
2120174.0,2025-09-1,0.6,7
2120166.0,2025-09-1,1.1,7
2119046.0,2025-09-1,0.0,7
2120182.0,2025-09-1,0.8,7
2120168.0,2025-09-1,6.5,7
2401037.0,2025-09-1,1.0,7
2401057.0,2025-09-1,5.0,7
2401515.0,2025-09-1,7.0,7
2120540.0,2025-09-1,4.5,7
2306040.0,2025-09-1,0.0,7
2120077.0,2025-09-1,4.9,7
2123007.0,2025-09-1,0.0,7
2401534.0,2025-09-1,3.8,7
26030150.0,2025-09-1,0.0,7
26020030.0,2025-09-1,0.0,7
25025080.0,2025-09-1,4.5,7
29030050.0,2025-09-1,10.0,7
25025170.0,2025-09-1,34.5,7
25020140.0,2025-09-1,56.5,7
29040240.0,2025-09-1,48.0,7
29040230.0,2025-09-1,0.0,7
25025160.0,2025-09-1,65.1,7
25021350.0,2025-09-1,10.0,7
25025190.0,2025-09-1,1.1,7
29040310.0,2025-09-1,0.0,7
25020470.0,2025-09-1,22.8,7
12030010.0,2025-09-1,4.0,7
29035110.0,2025-09-1,47.7,7
14010050.0,2025-09-1,26.9,7
29035080.0,2025-09-1,23.3,7
14010010.0,2025-09-1,30.5,7
29040250.0,2025-09-1,0.0,7
25021280.0,2025-09-1,2.0,7
29040300.0,2025-09-1,0.0,7
14010020.0,2025-09-1,11.0,7
29040020.0,2025-09-1,7.5,7
25020700.0,2025-09-1,52.0,7
25020960.0,2025-09-1,0.0,7
13015040.0,2025-09-1,96.9,7
29035040.0,2025-09-1,31.2,7
13090050.0,2025-09-1,38.0,7
13085010.0,2025-09-1,37.2,7
13075020.0,2025-09-1,68.0,7
13090040.0,2025-09-1,0.0,7
25025270.0,2025-09-1,28.3,7
13085030.0,2025-09-1,40.0,7
25025380.0,2025-09-1,22.0,7
12045020.0,2025-09-1,11.4,7
29040450.0,2025-09-1,0.0,7
25020760.0,2025-09-1,0.0,7
25025210.0,2025-09-1,3.0,7
25020950.0,2025-09-1,1.0,7
13075010.0,2025-09-1,12.1,7
12045010.0,2025-09-1,64.4,7
13030010.0,2025-09-1,4.0,7
25021370.0,2025-09-1,9.0,7
29035030.0,2025-09-1,0.0,7
29035000.0,2025-09-1,0.0,7
29060090.0,2025-09-1,0.0,7
28040030.0,2025-09-1,7.0,7
28015070.0,2025-09-1,0.0,7
28040010.0,2025-09-1,18.0,7
28010360.0,2025-09-1,0.0,7
15060180.0,2025-09-1,0.0,7
15060040.0,2025-09-1,0.0,7
25020250.0,2025-09-1,26.0,7
15030010.0,2025-09-1,0.0,7
25021600.0,2025-09-1,0.0,7
1506500197.0,2025-09-1,0.0,7
28010340.0,2025-09-1,0.0,7
29060200.0,2025-09-1,0.0,7
15045010.0,2025-09-1,0.0,7
15075030.0,2025-09-1,0.0,7
15085030.0,2025-09-1,0.0,7
