CODIGO,date,value
24035400,2025-04-29,1
23190440,2025-04-29,0
24030340,2025-04-29,11.5
37050050,2025-04-29,57
16010110,2025-04-29,1.5
23195110,2025-04-29,24.1
24050100,2025-04-29,30
37050010,2025-04-29,0
24030270,2025-04-29,2.5
16030140,2025-04-29,56
16020140,2025-04-29,50.8
24050060,2025-04-29,0
24030680,2025-04-29,4.1
24030750,2025-04-29,6.8
24010240,2025-04-29,3.9
23180100,2025-04-29,102
23147020,2025-04-29,29
16040050,2025-04-29,9
37050040,2025-04-29,24.3
16010040,2025-04-29,0
24020150,2025-04-29,2
16055020,2025-04-29,20.2
23190130,2025-04-29,10
23185010,2025-04-29,62.3
23190560,2025-04-29,35
24030330,2025-04-29,7.1
24050070,2025-04-29,12.3
24030350,2025-04-29,0.9
24015300,2025-04-29,30.5
24035070,2025-04-29,7.5
24015220,2025-04-29,8.6
24035120,2025-04-29,0
24035430,2025-04-29,2.6
24035260,2025-04-29,11.2
24035330,2025-04-29,4
24035340,2025-04-29,4.4
35075020,2025-04-29,5.2
35085050,2025-04-29,11.7
35215020,2025-04-29,3.5
35090050,2025-04-29,7.3
24030230,2025-04-29,2
23120250,2025-04-29,24.9
23125140,2025-04-29,42.5
24010180,2025-04-29,9.8
24030260,2025-04-29,4.5
24030310,2025-04-29,26.3
23125100,2025-04-29,40
35075010,2025-04-29,0
35075040,2025-04-29,16.7
35210050,2025-04-29,0
24015090,2025-04-29,38
35230040,2025-04-29,0
36025010,2025-04-29,14.8
35235040,2025-04-29,1.5
35235050,2025-04-29,3.2
24035040,2025-04-29,3.2
35070080,2025-04-29,9.6
35070040,2025-04-29,1.5
35070210,2025-04-29,4.9
35070020,2025-04-29,0
35080060,2025-04-29,18.8
36030030,2025-04-29,1.5
35070260,2025-04-29,9
35070070,2025-04-29,3.2
35070100,2025-04-29,0
35080070,2025-04-29,26.6
24030240,2025-04-29,4
24010830,2025-04-29,14
24010810,2025-04-29,33
23125090,2025-04-29,41.5
35070010,2025-04-29,2.4
35070180,2025-04-29,31
23120050,2025-04-29,56.4
24030800,2025-04-29,1.7
24010630,2025-04-29,10.8
24030400,2025-04-29,2.2
35080010,2025-04-29,2
35190070,2025-04-29,47
24035250,2025-04-29,0
35210010,2025-04-29,24
35085020,2025-04-29,5.2
35195050,2025-04-29,28.7
35190030,2025-04-29,0
24035020,2025-04-29,5.7
35075030,2025-04-29,7.1
21010140,2025-04-29,7
21020050,2025-04-29,19
21060070,2025-04-29,0
21110040,2025-04-29,2
21050140,2025-04-29,3
44045020,2025-04-29,10
21135030,2025-04-29,30.5
21145040,2025-04-29,1.5
21110330,2025-04-29,0
21110070,2025-04-29,1
21110180,2025-04-29,8
44040020,2025-04-29,63
21140080,2025-04-29,38
21060090,2025-04-29,10
21050170,2025-04-29,
21080080,2025-04-29,12.7
21080070,2025-04-29,28
44045010,2025-04-29,16.9
44030060,2025-04-29,40
21010050,2025-04-29,8
21040050,2025-04-29,5
21050090,2025-04-29,40
21050290,2025-04-29,0
21010110,2025-04-29,10
21055030,2025-04-29,12.2
21030080,2025-04-29,16
21020040,2025-04-29,6
21080030,2025-04-29,10
21090020,2025-04-29,30
21030090,2025-04-29,4
21010190,2025-04-29,10
21015030,2025-04-29,5.3
21115100,2025-04-29,3.7
44135010,2025-04-29,6.3
21010160,2025-04-29,4
21060080,2025-04-29,15
21065040,2025-04-29,3.3
21040030,2025-04-29,9
21010040,2025-04-29,10
21145080,2025-04-29,21.4
21110460,2025-04-29,65
21110160,2025-04-29,0
21110440,2025-04-29,38
21040020,2025-04-29,8
21130110,2025-04-29,34.8
21010230,2025-04-29,7
21110400,2025-04-29,6
21140120,2025-04-29,30
21060100,2025-04-29,5
21025030,2025-04-29,
26205080,2025-04-29,25
26210090,2025-04-29,20.8
27010870,2025-04-29,22
23085080,2025-04-29,13.7
27010820,2025-04-29,97
27011120,2025-04-29,28
26175030,2025-04-29,18.8
26170150,2025-04-29,50
26220110,2025-04-29,16
23080640,2025-04-29,40
27010810,2025-04-29,18
27015090,2025-04-29,42.8
27020190,2025-04-29,4
23085110,2025-04-29,20
26240160,2025-04-29,6
27011270,2025-04-29,19.9
11075020,2025-04-29,14.2
12015020,2025-04-29,17
23080650,2025-04-29,45
25020420,2025-04-29,102
